site_id,timezone_id,state,postcode
108816659,Australia/Darwin,NT,810
1061497183,Australia/Darwin,NT,832
1285868367,Australia/Sydney,NSW,2022
2001842041,Australia/Sydney,NSW,2038
1987799347,Australia/Sydney,NSW,2038
587922863,Australia/Sydney,NSW,2040
1798108288,Australia/Sydney,NSW,2049
897984844,Australia/Sydney,NSW,2050
497547877,Australia/Sydney,NSW,2064
86780673,Australia/Sydney,NSW,2065
321774035,Australia/Sydney,NSW,2070
920538951,Australia/Sydney,NSW,2071
926746169,Australia/Sydney,NSW,2075
2126348649,Australia/Sydney,NSW,2075
673743658,Australia/Sydney,NSW,2082
1523053771,Australia/Sydney,NSW,2088
667841615,Australia/Sydney,NSW,2089
1130807516,Australia/Sydney,NSW,2090
1878481710,Australia/Sydney,NSW,2093
1624458681,Australia/Sydney,NSW,2093
778809013,Australia/Sydney,NSW,2093
1599448459,Australia/Sydney,NSW,2095
1607457854,Australia/Sydney,NSW,2126
1218954523,Australia/Sydney,NSW,2144
2110076143,Australia/Sydney,NSW,2150
304613766,Australia/Sydney,NSW,2151
1443359018,Australia/Sydney,NSW,2167
98921348,Australia/Sydney,NSW,2193
1286607654,Australia/Sydney,NSW,2195
1542602261,Australia/Sydney,NSW,2196
1863180186,Australia/Sydney,NSW,2217
1508777601,Australia/Sydney,NSW,2225
384144702,Australia/Sydney,NSW,2230
1928208069,Australia/Sydney,NSW,2230
651957735,Australia/Sydney,NSW,2233
589075349,Australia/Sydney,NSW,2234
1881545679,Australia/Sydney,NSW,2250
1120866079,Australia/Sydney,NSW,2250
1383585488,Australia/Sydney,NSW,2259
388973326,Australia/Sydney,NSW,2259
1676416674,Australia/Sydney,NSW,2260
1421267790,Australia/Sydney,NSW,2261
512780417,Australia/Sydney,NSW,2262
258995145,Australia/Sydney,NSW,2278
1919397157,Australia/Sydney,NSW,2280
140930757,Australia/Sydney,NSW,2280
1450775793,Australia/Sydney,NSW,2282
1266478110,Australia/Sydney,NSW,2282
684117919,Australia/Sydney,NSW,2283
1109308317,Australia/Sydney,NSW,2283
269311982,Australia/Sydney,NSW,2284
1072429834,Australia/Sydney,NSW,2285
1977971623,Australia/Sydney,NSW,2285
760009813,Australia/Sydney,NSW,2287
257847471,Australia/Sydney,NSW,2287
110036971,Australia/Sydney,NSW,2315
627613203,Australia/Sydney,NSW,2316
1932866712,Australia/Sydney,NSW,2318
440005852,Australia/Sydney,NSW,2320
1175875762,Australia/Sydney,NSW,2320
847006359,Australia/Sydney,NSW,2323
144198244,Australia/Sydney,NSW,2326
401225851,Australia/Sydney,NSW,2330
1699308939,Australia/Sydney,NSW,2330
298248096,Australia/Sydney,NSW,2330
1780895048,Australia/Sydney,NSW,2333
190468730,Australia/Sydney,NSW,2337
904473388,Australia/Sydney,NSW,2350
1679518290,Australia/Sydney,NSW,2350
1812378828,Australia/Sydney,NSW,2365
952079398,Australia/Sydney,NSW,2429
152786204,Australia/Sydney,NSW,2444
589471410,Australia/Sydney,NSW,2446
899141434,Australia/Sydney,NSW,2450
662300586,Australia/Sydney,NSW,2452
1444635695,Australia/Sydney,NSW,2478
786572652,Australia/Sydney,NSW,2480
1294665425,Australia/Sydney,NSW,2480
959138266,Australia/Sydney,NSW,2480
1879697579,Australia/Sydney,NSW,2480
1854662132,Australia/Sydney,NSW,2481
1376322299,Australia/Sydney,NSW,2483
119057014,Australia/Sydney,NSW,2484
1578332004,Australia/Sydney,NSW,2486
1282179176,Australia/Sydney,NSW,2489
1296571800,Australia/Sydney,NSW,2516
47780748,Australia/Sydney,NSW,2533
1976583050,Australia/Sydney,NSW,2534
1379542030,Australia/Sydney,NSW,2535
19581418,Australia/Sydney,NSW,2536
1338568156,Australia/Sydney,NSW,2540
584179146,Australia/Sydney,NSW,2546
536842672,Australia/Sydney,NSW,2560
1469428231,Australia/Sydney,NSW,2576
374422113,Australia/Sydney,NSW,2577
959837891,Australia/Sydney,NSW,2582
1644197847,Australia/Sydney,NSW,2582
996367667,Australia/Sydney,ACT,2611
