Cost(k) $/kWh,FiTs(k) $/kWh
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.55,0.05
0.55,0.05
0.55,0.05
0.55,0.05
0.55,0.05
0.55,0.05
0.55,0.05
0.55,0.05
0.55,0.05
0.55,0.05
0.55,0.05
0.55,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.26,0.05
0.17,0.05
0.17,0.05
0.17,0.05
0.17,0.05
